id;Date;HStart;HEnd;Summary;TD;Location;Description
842;2023-11-30:;07:00:00;09:00:00;SAE14;TP1;B2;::1ATP1:BEIGNONDAGOSTINOLAURE::(Updated:20/11/202310:39)
843;2023-10-09:;08:00:00;10:00:00;Elec1;TDB;A8;::1ATDB:CAPALLERAFLORENCE::(Updated:25/09/202316:27)
844;2023-10-13:;06:00:00;08:00:00;SAE12;TP5;C5;::1ATP5:HERNANDEZSEBASTIEN::(Updated:03/10/202317:47)
845;2023-12-18:;09:00:00;11:00:00;RLAN1;TDA;B3;::1ATDA:FREITASANTONIO::(Updated:09/11/202316:48)
846;2023-12-12:;07:00:00;09:00:00;Anglais1;TP1;B2;::1ATP1:BEIGNONDAGOSTINOLAURE::(Updated:06/12/202309:47)
847;2024-01-25:;12:30:00;14:30:00;SAE15;TP4;C5;::1ATP4:PERRIOTROMAIN::(Updated:09/01/202416:00)
848;2023-10-06:;14:00:00;16:00:00;Soutienmath/info;;C5,A5;::1ATDC::(Updated:28/09/202313:58)
849;2023-12-05:;15:00:00;18:00:00;Archi-Rés1;TP3;B8;::1ATP3:DELOSHUGO::(Updated:09/11/202312:50)
850;2024-01-17:;12:00:00;15:00:00;SAE13;TP3;C1;::1ATP3:CAPALLERAFLORENCE::(Updated:18/12/202310:27)
851;2023-11-16:;14:30:00;16:30:00;Com1;TP1;B7;::1ATP1:GIRAUDNADINE::(Updated:07/11/202317:04)
852;2024-01-26:;12:30:00;14:00:00;SAE12;TP1;B3;::1ATP1:HERNANDEZSEBASTIEN::(Updated:20/12/202310:17)
853;2024-01-30:;09:00:00;10:00:00;Télécoms2;Cours;A5-A5bis;::1A:CAPALLERAFLORENCE::(Updated:08/01/202417:46)
854;2023-11-06:;14:30:00;16:30:00;Anglais1;TP3;LabomultimédiaA105;::1ATP3:GORDONNATHALIE::(Updated:21/10/202313:33)
855;2023-11-30:;14:30:00;16:30:00;Com1;TP1;B7;::1ATP1:GIRAUDNADINE::(Updated:13/11/202312:09)
856;2023-11-10:;12:30:00;15:30:00;Init-Rés1;TP2;B8;::1ATP2:HERNANDEZSEBASTIEN::(Updated:19/10/202316:40)
857;2023-09-22:;11:30:00;13:30:00;Telecom1;TDA;A5bis;::1ATDA:CAPALLERAFLORENCE::(Updated:11/07/202317:13)
858;2023-09-15:;11:30:00;13:30:00;Telecom1;TDB;A5;::1ATDB:CAPALLERAFLORENCE::(Updated:10/07/202313:04)
859;2023-12-12:;14:30:00;16:30:00;Anglais1;TP4;LabomultimédiaA105;::1ATP4:GORDONNATHALIE::(Updated:13/12/202311:14)
860;2023-12-08:;12:30:00;15:30:00;Archi-Sys1;TP3;B3;::1ATP3:PERRIOTROMAIN::(Updated:09/11/202312:47)
861;2023-09-26:;09:00:00;10:00:00;Init-Rés1;Cours;A5-A5bis;::1A:FREITASANTONIO::(Updated:07/07/202311:30)
862;2023-11-27:;12:00:00;15:00:00;Archi-Sys1;TP5;C5;::1ATP5:PERRIOTROMAIN::(Updated:09/11/202318:47)
863;2023-10-13:;11:30:00;12:30:00;Telecom1;Examen;SalleexamenMPC003;::1A:CAPALLERAFLORENCE::(Updated:25/09/202316:55)
864;2024-01-31:;12:30:00;13:30:00;Téléphonie2;Cours;A5-A5bis;::1A:TOUSSAINTJOEL::(Updated:08/01/202417:44)
865;2023-12-04:;08:00:00;11:00:00;Telecom1;TP1;C1;::1ATP1:CAPALLERAFLORENCE::(Updated:15/11/202319:56)
866;2023-10-27:;11:30:00;14:30:00;Elec1;TP2;B1bis;::1ATP2:CAPALLERAFLORENCE::(Updated:20/10/202317:03)
867;2024-01-10:;09:00:00;11:00:00;SAE14;TP4;B2;::1ATP4:BEIGNONDAGOSTINOLAURE::(Updated:27/11/202315:55)
868;2023-11-13:;12:30:00;14:30:00;SAE13;TDC;B1bis;::1ATDC:COURSIMAULTDAVID::(Updated:13/11/202316:52)
869;2023-09-28:;08:00:00;10:00:00;Prog1;TP1;C5;::1ATP1:SIGURETARNAUD::(Updated:24/08/202319:32)
870;2023-11-07:;14:30:00;16:30:00;SAE12;TDB;B3;::1ATDB:FREITASANTONIO::(Updated:18/10/202310:29)
