dtstart,dtend,dtstamp,organizer,uid,attendee,created,description,last-modified,location,sequence,status,summary,transp
"2023-11-28T07:00:00Z","2023-11-28T08:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d32383637352d302d31","","1970-01-01T00:00:00Z","\n\n1A\nFREITAS ANTONIO\n\n(Updated :15/11/2023 15:53)","2023-11-15T14:53:00Z","A5-A5bis","2140984473","","RLAN1 : Cours",""
"2024-02-01T14:30:00Z","2024-02-01T16:30:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33353130362d302d30","","1970-01-01T00:00:00Z","\n\n1ATDB\nHERNANDEZ SEBASTIEN\n\n(Updated :09/01/2024 10:18)","2024-01-09T09:18:00Z","A5bis","2141063338","","Internet2 : TDB",""
"2023-09-25T07:00:00Z","2023-09-25T08:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d32373639342d302d32","","1970-01-01T00:00:00Z","\n\n1A\nCAPALLERA FLORENCE\n\n(Updated :24/08/2023 19:23)","2023-08-24T17:23:00Z","A5-A5bis","2140865103","","Elec1 : Cours",""
"2023-10-09T06:00:00Z","2023-10-09T07:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d32383636392d302d33","","1970-01-01T00:00:00Z","\n\n1A\nCOURSIMAULT DAVID\n\n(Updated :25/09/2023 16:25)","2023-09-25T14:25:00Z","A5-A5bis","2140911005","","Math-Signal1 : Cours",""
"2023-12-08T12:30:00Z","2023-12-08T15:30:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33323036322d302d32","","1970-01-01T00:00:00Z","\n\n1ATP3\nPERRIOT ROMAIN\n\n(Updated :09/11/2023 12:47)","2023-11-09T11:47:00Z","B3","2140975647","","Archi-Sys1 : TP3",""
"2023-09-29T12:00:00Z","2023-09-29T14:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d35333336332d302d30","","1970-01-01T00:00:00Z","\n\n1ATDC\nMAYET KARINE\n\n(Updated :20/11/2023 10:41)","2023-11-20T09:41:00Z","B7","2140991361","","PPP1 : TDC",""
"2023-11-14T12:30:00Z","2023-11-14T14:30:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d32383931312d302d31","","1970-01-01T00:00:00Z","\n\n1ATDA\n\n(Updated :31/10/2023 17:59)","2023-10-31T16:59:00Z","C5,B6","2140962999","","SAE12-TDA-PT",""
"2023-12-21T12:30:00Z","2023-12-21T14:30:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33313837312d302d33","","1970-01-01T00:00:00Z","\n\n1ATDB\nGIRAUD NADINE\n\n(Updated :09/11/2023 17:15)","2023-11-09T16:15:00Z","B7","2140975915","","PPP1 : TDB",""
"2024-01-11T09:00:00Z","2024-01-11T11:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33323138372d302d34","","1970-01-01T00:00:00Z","\n\n1ATP4\nGORDON NATHALIE\n\n(Updated :03/12/2023 13:22)","2023-12-03T12:22:00Z","Labo multimédia A105","2141010242","","Anglais1 : TP4",""
"2023-11-28T14:30:00Z","2023-11-28T16:30:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d35333336392d302d31","","1970-01-01T00:00:00Z","\n\n1ATDC\nMAYET KARINE\n\n(Updated :20/11/2023 10:01)","2023-11-20T09:01:00Z","B7","2140991321","","Gest_projet : TDC",""
"2023-12-21T14:30:00Z","2023-12-21T16:30:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33313531362d302d33","","1970-01-01T00:00:00Z","\n\n1ATDA\nHABACHI OUSSAMA\n\n(Updated :20/11/2023 10:36)","2023-11-20T09:36:00Z","B8","2140991356","","SAE15-TDA",""
"2023-10-10T08:00:00Z","2023-10-10T10:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33323033352d302d32","","1970-01-01T00:00:00Z","\n\n1ATP2\nZAYENE MARIEM\n\n(Updated :03/10/2023 17:54)","2023-10-03T15:54:00Z","B8","2140922614","","Prog1 : TP2",""
"2024-01-19T13:00:00Z","2024-01-19T15:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d35333336332d302d33","","1970-01-01T00:00:00Z","\n\n1ATDC\nMAYET KARINE\n\n(Updated :21/12/2023 11:22)","2023-12-21T10:22:00Z","B7","2141036042","","PPP1 : TDC",""
"2023-12-14T09:00:00Z","2023-12-14T11:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33323039332d302d3130","","1970-01-01T00:00:00Z","\n\n1ATP3\nZAYENE MARIEM\n\n(Updated :09/11/2023 16:20)","2023-11-09T15:20:00Z","B8","2140975860","","Prog1 : TP3",""
"2023-10-25T13:30:00Z","2023-10-25T16:30:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33323032362d302d34","","1970-01-01T00:00:00Z","\n\n1ATP2\nHERNANDEZ SEBASTIEN\n\n(Updated :10/10/2023 18:42)","2023-10-10T16:42:00Z","C1bis","2140932742","","Init-Rés1 : TP2",""
"2024-01-16T09:00:00Z","2024-01-16T11:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33313739362d302d35","","1970-01-01T00:00:00Z","\n\n1ATDA\nGIRAUD NADINE\n\n(Updated :27/11/2023 15:58)","2023-11-27T14:58:00Z","B7","2141001758","","PPP1 : TDA",""
"2023-11-06T09:00:00Z","2023-11-06T11:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33313836372d302d3130","","1970-01-01T00:00:00Z","\n\n1ATDB\nCOURSIMAULT DAVID\n\n(Updated :13/10/2023 11:17)","2023-10-13T09:17:00Z","A5bis","2140936617","","Math-Signal1 : TDB",""
"2023-10-03T08:00:00Z","2023-10-03T10:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d32383931392d302d31","","1970-01-01T00:00:00Z","\n\n1ATP1\nHERNANDEZ SEBASTIEN\n\n(Updated :25/09/2023 17:19)","2023-09-25T15:19:00Z","C7","2140911059","","SAE12-TP1",""
"2024-01-23T12:30:00Z","2024-01-23T14:30:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d38383331322d302d32","","1970-01-01T00:00:00Z","\n\n1ATP2\nHAYEK FREDERIC\n\n(Updated :27/11/2023 16:23)","2023-11-27T15:23:00Z","B3","2141001783","","SAE15-TP2",""
"2024-01-15T08:00:00Z","2024-01-15T11:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d35333338342d302d31","","1970-01-01T00:00:00Z","\n\n1ATP5\nCHEBBI SAMAR\n\n(Updated :27/11/2023 14:59)","2023-11-27T13:59:00Z","C1bis","2141001699","","RLAN1 : TP5",""
"2023-10-02T13:30:00Z","2023-10-02T15:30:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d32383833382d302d33","","1970-01-01T00:00:00Z","\n\n1ATDB\nGIRAUD NADINE\n\n(Updated :25/09/2023 13:26)","2023-09-25T11:26:00Z","B7","2140910826","","SAE11-TDB",""
"2023-12-01T08:00:00Z","2023-12-01T11:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33323036322d302d31","","1970-01-01T00:00:00Z","\n\n1ATP3\nPERRIOT ROMAIN\n\n(Updated :20/11/2023 10:14)","2023-11-20T09:14:00Z","C7","2140991334","","Archi-Sys1 : TP3",""
"2023-10-06T07:00:00Z","2023-10-06T10:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33323235392d302d31","","1970-01-01T00:00:00Z","\n\n1ATP4\nFREITAS ANTONIO\n\n(Updated :25/08/2023 13:11)","2023-08-25T11:11:00Z","C7","2140866171","","Init-Rés1 : TP4",""
"2023-10-17T06:00:00Z","2023-10-17T08:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d35333336382d302d38","","1970-01-01T00:00:00Z","\n\n1ATDC\nBOUAYED AYMENE\n\n(Updated :10/10/2023 11:17)","2023-10-10T09:17:00Z","A6","2140932297","","Math-Signal1 : TDC",""
"2023-11-30T09:00:00Z","2023-11-30T11:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33303636362d302d30","","1970-01-01T00:00:00Z","\n\n1ATP4\nBEIGNON D AGOSTINO LAURE\n\n(Updated :23/11/2023 15:43)","2023-11-23T14:43:00Z","B2","2140995983","","SAE14-TP4",""
"2023-11-07T12:30:00Z","2023-11-07T14:30:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33323031312d302d35","","1970-01-01T00:00:00Z","\n\n1ATP1\nSIGURET ARNAUD\n\n(Updated :29/10/2023 18:08)","2023-10-29T17:08:00Z","C5","2140960128","","Prog1 : TP1",""
"2023-12-08T07:00:00Z","2023-12-08T09:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d36303435332d302d32","","1970-01-01T00:00:00Z","\n\n1ATDC\n\n(Updated :30/11/2023 17:11)","2023-11-30T16:11:00Z","B3,A5bis","2141006151","","SAE13-TDC-PT",""
